work_year,employment_type,salary_in_usd,employee_residence,company_location,company_size,high_experience,is_remote,job_group
2022,2,95550,55,48,1,1,0,5
2022,2,113000,55,48,0,1,0,2
2022,2,135000,55,48,1,1,1,0
2022,2,161342,55,48,1,1,1,3
2022,2,137141,55,48,1,1,1,3
2022,2,167000,55,48,1,1,1,5
2022,2,123000,55,48,1,1,1,5
2022,2,78526,20,18,1,1,0,2
2022,2,65438,20,18,1,1,0,2
2022,2,150000,55,48,1,1,0,5
2022,2,211500,55,48,1,1,1,5
2022,2,192400,8,6,1,1,1,1
2022,2,90700,8,6,1,1,1,1
2022,2,130000,8,6,1,1,1,0
2022,2,61300,8,6,1,1,1,0
2022,2,130000,8,6,1,1,1,0
2022,2,61300,8,6,1,1,1,0
2022,2,160000,55,48,0,1,0,2
2022,2,138600,55,48,1,1,1,5
2022,2,136000,55,48,1,1,0,2
2022,2,58000,55,48,2,0,0,0
2022,2,135000,55,48,1,1,1,2
2022,2,170000,55,48,1,1,1,5
2022,2,123000,55,48,1,1,1,5
2022,2,189650,55,48,1,1,0,2
2022,2,164996,55,48,1,1,0,2
2022,2,54957,21,19,1,0,0,4
2022,2,54957,21,19,1,0,0,4
2022,2,118187,8,6,2,1,1,2
2022,2,132000,55,48,1,1,0,0
2022,2,165400,55,48,1,1,1,2
2022,2,208775,55,48,1,1,1,1
2022,2,147800,55,48,1,1,1,1
2022,2,136994,55,48,1,1,1,2
2022,2,101570,55,48,1,1,1,2
2022,2,128875,55,48,1,1,1,0
2022,2,93700,55,48,1,1,1,0
2022,2,79039,27,25,0,1,1,4
2022,2,132320,55,48,1,1,1,2
2022,2,37300,20,18,0,0,1,2
2022,2,164000,55,48,1,1,0,0
2022,2,155000,55,48,1,1,1,2
2022,2,124333,20,18,1,0,0,2
2022,2,98158,20,18,1,0,0,2
2022,2,120000,55,48,1,0,0,5
2022,2,112900,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,145000,55,48,1,1,1,3
2022,2,105400,55,48,1,1,1,3
2022,2,87932,19,12,1,0,1,2
2022,2,117789,20,18,1,0,0,2
2022,2,215300,55,48,0,1,1,5
2022,2,158200,55,48,0,1,1,5
2022,2,209100,55,48,0,1,1,2
2022,2,154600,55,48,0,1,1,2
2022,2,115934,55,48,1,1,0,0
2022,2,81666,55,48,1,1,0,0
2022,2,175000,55,48,1,1,1,2
2022,2,98158,20,18,1,0,0,2
2022,2,58000,55,48,2,0,0,0
2022,2,183600,55,48,0,1,1,2
2022,2,52351,20,18,1,0,1,0
2022,2,180000,55,48,1,1,1,5
2022,2,71982,20,18,1,0,0,5
2022,2,45807,20,18,1,0,0,5
2022,2,65949,21,19,1,0,1,2
2022,2,49461,21,19,1,0,1,2
2022,2,78526,20,18,1,0,1,2
2022,2,58894,20,18,1,0,1,2
2022,2,260000,55,48,1,1,1,5
2022,2,60000,1,34,0,1,1,2
2022,2,63900,55,48,1,0,0,2
2022,2,160000,55,48,0,0,1,5
2022,2,112300,55,48,0,0,1,5
2022,2,241000,55,48,1,0,1,3
2022,2,159000,55,48,1,0,1,3
2022,2,180000,55,48,1,1,0,5
2022,2,80000,55,48,1,1,0,5
2022,2,82900,55,48,1,0,0,2
2022,2,100800,55,48,0,1,1,2
2022,2,49461,18,16,1,0,1,2
2022,2,140400,55,48,0,1,0,5
2022,2,39263,20,18,1,0,1,0
2022,2,43966,18,16,1,0,1,0
2022,2,32974,18,16,1,0,1,0
2022,2,87932,18,16,1,0,1,2
2022,2,76940,18,16,1,0,1,2
2022,2,104702,20,18,1,0,1,2
2022,2,91614,20,18,1,0,1,2
2022,2,65949,18,16,1,0,1,2
2022,2,87932,21,19,1,0,1,2
2022,2,189650,55,48,1,1,0,2
2022,2,164996,55,48,1,1,0,2
2022,2,43966,21,19,1,0,1,0
2022,2,32974,21,19,1,0,1,0
2022,2,98158,20,18,1,0,1,2
2022,2,78526,20,18,1,0,1,2
2022,2,215300,55,48,0,1,0,5
2022,2,76940,21,19,1,0,1,2
2022,2,209100,55,48,0,1,1,2
2022,2,154600,55,48,0,1,1,2
2022,2,180000,55,48,1,1,1,2
2022,2,21983,46,41,0,0,1,2
2022,2,80000,55,48,1,1,1,2
2022,2,78791,8,6,1,0,1,4
2022,2,196979,8,6,0,1,1,4
2022,2,120000,55,48,2,0,1,2
2022,2,125000,55,48,1,0,0,2
2022,2,37236,55,48,0,0,1,2
2022,2,105000,55,48,1,1,1,2
2022,2,87932,14,12,1,1,0,2
2022,2,18442,27,25,1,0,1,0
2022,2,31615,27,25,0,0,1,5
2022,2,58255,46,41,0,0,1,2
2022,2,100000,55,48,0,0,1,0
2022,3,54957,14,12,0,0,1,2
2022,2,18442,27,25,1,0,1,5
2022,2,162674,14,12,1,1,1,5
2022,2,120000,55,48,1,0,1,2
2022,2,144000,55,48,0,1,1,5
2022,2,104890,55,48,1,1,1,5
2022,2,100000,55,48,1,1,1,2
2022,2,140000,55,48,1,1,1,5
2022,2,135000,55,48,1,0,1,0
2022,2,50000,55,48,1,0,1,0
2022,2,220000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,183228,20,18,1,0,0,5
2022,2,91614,20,18,1,0,0,5
2022,2,185100,55,48,1,1,1,5
2022,2,220000,55,48,1,1,1,2
2022,2,200000,55,48,1,0,1,5
2022,2,120000,55,48,1,0,1,5
2022,2,120000,0,0,2,1,1,2
2022,2,65000,0,0,2,1,1,2
2022,2,324000,55,48,1,1,1,2
2022,2,216000,55,48,1,1,1,2
2022,2,210000,55,48,1,1,1,2
2022,2,120000,55,48,1,1,1,2
2022,2,230000,55,48,1,1,1,5
2022,3,100000,16,14,1,0,1,5
2022,1,100000,8,48,1,0,1,5
2022,0,31875,52,11,1,0,1,5
2022,2,200000,38,48,1,1,1,4
2022,2,75000,8,6,2,0,1,0
2022,2,35590,44,40,0,0,1,5
2022,2,78791,8,6,1,1,1,4
2022,2,100000,7,48,1,1,1,5
2022,2,153000,55,48,1,0,1,5
2022,2,58035,43,12,1,0,1,2
2022,2,165000,55,48,1,1,1,5
2022,2,93427,19,17,0,1,1,5
2022,2,52396,8,6,0,0,1,5
2022,2,62651,40,37,0,1,1,2
2022,2,32974,17,15,2,0,1,4
2022,2,40000,32,35,0,0,1,5
2022,2,87425,3,3,0,0,1,2
2022,2,115000,55,48,1,1,1,2
2022,2,86703,3,3,1,0,1,5
2022,2,75000,6,48,0,0,1,5
2022,2,64849,2,2,0,0,0,5
2022,2,120000,55,48,0,0,1,5
2022,2,157000,55,48,0,0,1,5
2022,2,150000,3,3,2,0,1,2
2022,2,70912,8,6,0,0,1,0
2022,2,65000,55,48,2,0,1,2
2022,2,71444,26,23,2,1,1,2
2022,2,20000,43,39,1,0,0,2
2022,2,48000,49,48,2,0,1,5
2022,2,152500,55,48,1,1,1,3
2022,2,68147,19,17,1,0,1,2
2022,2,122346,9,7,0,0,0,5
2022,2,380000,55,48,0,1,1,5
2022,2,69336,8,6,1,0,1,5
2022,2,10000,46,31,1,0,1,2
2022,2,20000,21,19,2,0,1,0
2022,2,405000,55,48,0,1,1,4
2022,2,135000,55,48,0,0,1,5
2022,2,177000,55,48,0,1,1,5
2022,2,78000,55,48,1,0,1,5
2022,2,135000,55,48,1,1,1,0
2022,2,100000,55,48,1,1,1,0
2022,2,90320,55,48,1,1,1,0
2022,2,85000,8,6,1,0,0,0
2022,2,75000,8,6,1,0,0,0
2022,2,214000,55,48,1,1,1,2
2022,2,192600,55,48,1,1,1,2
2022,2,266400,55,48,1,1,1,1
2022,2,213120,55,48,1,1,1,1
2022,2,112900,55,48,1,1,1,0
2022,2,155000,55,48,1,1,1,2
2022,2,141300,55,48,1,0,0,5
2022,2,102100,55,48,1,0,0,5
2022,2,115934,55,48,1,1,1,0
2022,2,81666,55,48,1,1,1,0
2022,2,206699,55,48,1,0,0,2
2022,2,99100,55,48,1,0,0,2
2022,2,130000,55,48,1,1,1,2
2022,2,115000,55,48,1,1,1,2
2022,2,110500,55,48,1,1,1,2
2022,2,130000,55,48,1,1,1,2
2022,2,99050,55,48,1,1,1,0
2022,2,160000,55,48,1,1,1,2
2022,2,205300,55,48,0,1,0,5
2022,2,140400,55,48,0,1,0,5
2022,2,176000,55,48,1,1,1,5
2022,2,144000,55,48,1,1,1,5
2022,2,200100,55,48,1,1,1,2
2022,2,160000,55,48,1,1,1,2
2022,2,145000,55,48,1,1,1,2
2022,2,70500,55,48,1,1,0,2
2022,2,205300,55,48,1,1,0,5
2022,2,140400,55,48,1,1,0,5
2022,2,205300,55,48,1,1,0,2
2022,2,184700,55,48,1,1,0,2
2022,2,175100,55,48,1,1,1,2
2022,2,140250,55,48,1,1,1,2
2022,2,116150,55,48,1,1,1,0
2022,2,54000,55,48,1,1,0,2
2022,2,170000,55,48,1,1,1,0
2022,2,65438,20,18,1,0,0,0
2022,2,80000,55,48,1,1,1,0
2022,2,140000,55,48,1,1,1,5
2022,2,210000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,100000,55,48,1,1,1,0
2022,2,69000,55,48,1,1,1,0
2022,2,210000,55,48,1,1,1,5
2022,2,140000,55,48,1,1,1,5
2022,2,210000,55,48,1,1,1,5
2022,2,150075,55,48,1,1,1,0
2022,2,100000,55,48,1,1,1,2
2022,2,25000,55,48,1,1,1,2
2022,2,126500,55,48,1,1,1,0
2022,2,106260,55,48,1,1,1,0
2022,2,220110,55,48,1,1,1,2
2022,2,160080,55,48,1,1,1,2
2022,2,105000,55,48,1,1,1,0
2022,2,110925,55,48,1,1,1,0
2022,2,45807,20,18,1,0,0,0
2022,2,140000,55,48,1,1,1,5
2022,2,99000,55,48,1,1,0,0
2022,2,60000,55,48,1,1,1,0
2022,2,192564,55,48,1,1,1,1
2022,2,144854,55,48,1,1,1,1
2022,2,230000,55,48,1,1,1,5
2022,2,150000,55,48,1,1,1,5
2022,2,150260,55,48,1,1,1,3
2022,2,109280,55,48,1,1,1,3
2022,2,210000,55,48,1,1,1,5
2022,2,170000,55,48,1,1,1,0
2022,2,160000,55,48,1,0,1,5
2022,2,130000,55,48,1,0,1,5
2022,2,67000,8,6,1,0,0,0
2022,2,52000,8,6,1,0,0,0
2022,2,154000,55,48,1,1,1,2
2022,2,126000,55,48,1,1,1,2
2022,2,129000,55,48,1,1,0,0
2022,2,150000,55,48,1,1,1,0
2022,2,200000,27,48,0,0,1,5
